シリーズ名・書名,発売日,著者
その台詞には愛が無い,6,さはら鋏
みんなのえっちな管理人さん！,6,雨宮かよう
ON AIR’S（１）,7,嘉村田逸名
サメガール（１）,7,雪本愁二
能力　主人公補正（１）,7,鬼頭莫宏／当麻
ごほうびは躾のあと,7,にやま
千夜一夜アラビアントゥナイト,7,拳
眼鏡上司にとことん調教されました。　愛されアラサー女子は夜に啼く（仮）,7,まりきち／佐々千尋
毎夜、俺様カレとベッドの中で（仮）,7,稲本いねこ
おしかけツインテール（５）,7,高津ケイタ
おとぼけ部長代理（２）,7,植田まさし
ちっちゃい彼女先輩が可愛すぎる。,7,あきばるいき
ケムリが目にしみる（２・完）,7,飯田ヨネ
鬼平犯科帳（70）,7,さいとう・たかを／池波正太郎
BEASTARS（18）,8,板垣巴留
BREAK BACK（７）,8,ＫＡＳＡ
あっぱれ！浦安鉄筋家族（６）,8,浜岡賢次
クワトロバッテリー（１）,8,高嶋栄充
チャンピオンズ～週刊少年チャンピオンを創った男たちの物語～,8,魚乃目三太
もういっぽん！（７）,8,村岡ユウ
吸血姫まひるちゃん（１）,8,珠奇
弱虫ペダル（66）,8,渡辺航
足芸少女こむらさん（４・完）,8,灰刃ねむみ
築地最強寿司伝説　仁義理の海太郎（１）,8,川端浩典
魔入りました！入間くん（16）,8,西修
龍神かごめちゃん（２）,8,松尾あき
六道の悪女たち（19）,8,中村勇志
娑婆王（２）,8,暦
クローズEXPLODE（７）,8,髙橋ヒロシ／向井康介ほか
クローズZEROリブート（４）,8,髙橋ヒロシ／武藤将吾ほか
新装版　WORST外伝（１）,8,髙橋ヒロシ
新装版　WORST外伝（２・完）,8,髙橋ヒロシ
4LDK（１）,8,蛭塚都
飼い猫がなつきません（１）,8,ふじのはるか
ろんぐらいだぁす！（４）新装版,8,三宅大志
おみやげどうしよう？（４）,8,西園フミコ
ネガティブハーレム愛ランド（２）,8,はら九五
ワンコそばにいる（２）,8,路田行
忍者と極道（１）,8,近藤信輔
蕗ノ下さんは背が小さい（１）,8,依澄れい
パリピ孔明（１）,8,四葉夕卜／小川亮
蒼のアインツ（３）,8,中村尚儁
にぶんのいち夫婦（１）,8,黒沢明世／夏川ゆきの
にぶんのいち夫婦（２）,8,黒沢明世／夏川ゆきの
にれこスケッチ（３）,8,鴨居まさね
君に会えたら何て言おう,8,ねむようこ
アヤメくんののんびり肉食日誌（12）,8,町麻衣
SUPER SUPER どうぶつーズ,8,きくちゆうき
アルカフス（３）,9,村山渉／御影夏
おおきい後輩は好きですか？（１）,9,卓二雄作
きょうも黒咲さんのターン！（１）,9,あゆか
この素晴らしい世界に祝福を！（11）,9,渡真仁／三嶋くろねほか
スコップ無双　「スコップ波動砲！」　（　｀・ω・´）♂〓〓〓〓★（゜Д　゜　;;;）.:∴　ドゴォォ（１）,9,福原蓮士／つちせ八十八ほか
ネガくんとポジちゃん（１）,9,森田俊平
はぐれ精霊医の診察記録　～聖女騎士団と癒やしの神業～（２）,9,橘由宇／とーわほか
レジェンド（８）,9,たかの雅治／神無月紅ほか
乙女ゲー世界はモブに厳しい世界です（３）,9,潮里潤／三嶋与夢ほか
魔王になったので、ダンジョン造って人外娘とほのぼのする（３）,9,遠野ノオト／流優ほか
勇者と紋章のラグナロク（３）,9,渡辺つよし
スパイダーマン／偽りの赤,9,大沢祐輔／ディズニー
フェチップル（５）,9,るり原ズラチー
ようかい居酒屋　のんべれケ。（３）,9,ｎｏｎｃｏ
魔王さまの抜き打ちダンジョン視察（３）,9,館ノ川駿
乱したい戯谷さんと乱れないタダミチ（１）,9,菅原優太郎
JK無双　終わる世界の救い方（１）,9,石川カノト／津田夕也ほか
THE KING OF FIGHTERS ～A NEW BEGINNING～（５）,9,ＳＮＫ／あずま京太郎
お嬢様の僕（６）,9,田口ホシノ
ヒプノシスマイク　―Division Rap Battle―　side B.B ＆　M.T.C（３）,9,ＥＶＩＬ　ＬＩＮＥ　ＲＥＣＯＲＤＳ／蟹江鉄史
ベアゲルター（５）,9,沙村広明
よくわからないけれど異世界に転生していたようです（１）,9,内々けやき／あしカオミン
異世界で最強魔王の子供達10人のママになっちゃいました。（２）,9,遠山えま
異世界マンチキン　―HP1のままで最強最速ダンジョン攻略―（２）,9,志瑞祐／青桐良
異世界魔王と召喚少女の奴隷魔術（11）,9,福田直叶／むらさきゆきやほか
逆装ランデヴー　～女装男子と男装女子の話～（１）,9,次見やをら
今まで一度も女扱いされたことがない女騎士を女扱いする漫画（５）,9,マツモトケンゴ
妖怪アパートの幽雅な日常（20）,9,深山和香／香月日輪
エルフデッキと戦場暮らし（２）,9,大間九郎／ワタナベタカシ
マズ飯エルフと遊牧暮らし（７）,9,大間九郎／ワタナベタカシ
半沢直樹（１）,9,池井戸潤／フジモトシゲキほか
デキる猫は今日も憂鬱（３）,9,山田ヒツジ
ペンとハウス～ペンは飼い主が好き～（１）,9,家田明歩
23区東京マジョ（１）,9,拝田久
トモダチゲーム（16）,9,佐藤友生／山口ミコト
わたし（仮）（３）,9,奥津武
わたし（仮）（４）,9,奥津武
皆様の玩具です（９）,9,石井康之
神威事変（２）,9,秋山直衛
進撃の巨人（31）,9,諫山創
JKハルは異世界で娼婦になった（２）,9,山田Ｊ太／平鳥コウ
セブンティドリームズ（３）,9,タイム涼介
ふたり明日もそれなりに（２）,9,すずゆき
宇宙戦艦ティラミス（10・完）,9,宮川サトシ／伊藤亰
間違った子を魔法少女にしてしまった（８）,9,双龍
妻が夫で夫が妻で（１）,9,青波エコー
鹿楓堂よついろ日和（12）,9,清水ユウ
男性恐怖症だった私がAV女優になるまでの話（１）,9,野々原なずな
爪痕－それでも結婚続けますか？－（１）,9,石川オレオ／ななしなあめ子
働かないふたり（19）,9,吉田覚
姫乃ちゃんに恋はまだ早い（４）,9,ゆずチリ
女子小学星のおうじょさま（３・完）,9,藤崎ひかり
白百合ゴルフ練習場　ゴルフの理想と現実編,9,かわさき健／里見桂
1Kアパートの王子様　return home,10,大和名瀬
BEAST OF BLOOD,10,星名あんじ
ケダモノアラシ―Hug me baby！―,10,黒井モリー
東の恋が西に落ち,10,黒岩チハヤ
夜啼く鷹は愛を知らない,10,山本ティナ
陽だまりのオレンジ,10,悠ちとせ
ぜっしゃか！―私立四ツ輪女子学院絶滅危惧車学科―（３）,10,せきはん
空の青さを知る人よ（２）,10,超平和バスターズ／蜷川ヤエコ
鈍色のカメレオン（３）,10,春日井明
恋は世界征服のあとで（１）,10,野田宏／若松卓宏
幸せカナコの殺し屋生活（３）,10,若林稔弥
妄想テレパシー（７）,10,ＮＯＢＥＬ
運命は覗き見してたらヤッてきた,10,あぶく
アサギロ～浅葱狼～（21）,10,ヒラマツ・ミノル
ボンバボーイ（３）,10,瀬戸ミクモ
放課後さいころ倶楽部（16）,10,中道裕大
愛蔵版　機動警察パトレイバー（５）,10,ゆうきまさみ
22/7＋α（２）,10,葛西尚／宮島礼吏ほか
