シリーズ名・書名,発売日,著者
五等分の花嫁（14）,17,春場ねぎ
思春期チェリーバレット,17,夏尾
発情リレーションシップ,17,葛城かつら
路地裏プッシーキャット,17,鳥葉ゆうじ
ジョジョリオン（23）,17,荒木飛呂彦
BLACK TIGER ブラックティガー（４）,17,秋本治
DINER ダイナー（10）,17,平山夢明／河合孝典
DOUBLE DECKER！　ダグ＆キリル（４）,17,榊原瑞紀／サンライズ
HANDS（１）,17,中野ユウスケ
イエスタデイをうたって　afterword,17,冬目景
かぐや様は告らせたい～天才たちの恋愛頭脳戦～（18）,17,赤坂アカ
ぎんぎつね（14）,17,落合さより
シェイプシフター（３）,17,岩井トーキ
バトゥーキ（７）,17,迫稔雄
まくむすび（４）,17,保谷伸
悪徳令嬢5000兆円無双（１）,17,新谷信貴
俺の家が魔力スポットだった件～住んでいるだけで世界最強～（６）,17,あまうい白一／ｃｈｉｐｐｉほか
可愛そうにね、元気くん（４）,17,古宮海
禍つ罠師の勇者狩り（１）,17,わだぺん。
鬼獄の夜（１）,17,加藤キャシー
鬼獄の夜（２）,17,加藤キャシー
君の事が大大大大大好きな彼女（１）,17,中村力斗／野澤ゆき子
殺人無罪（４）,17,熊谷純／上田宏
史上最強の魔法剣士、Fランク冒険者に転生する～剣聖と磨帝、2つの前世を持った男の英雄譚～（２）,17,柑橘ゆすら／亀山大河ほか
自重しない元勇者の強くて楽しいニューゲーム（９）,17,新木伸／ていやんほか
信号さんはそこにあり（１）,17,吉舎和幸
新サクラ大戦　the Comic（２）,17,広井王子／ＳＥＧＡほか
善人おっさん、生まれ変わったらSSSランク人生が確定した（２）,17,三木なずな／ゆづましろほか
彼女の野性が手に負えない（３）,17,末広光
貧々福々ナズナさま！（２）,17,稲葉そーへー
サバゲっぱなし（６）,17,坂崎ふれでぃ
ベルサイユオブザデッド（４）,17,スエカネクミコ
Forward！（１）,17,吉田雄太
アクターダンス（１）,17,村上ペコ
亜獣譚（８）,17,江野スミ
異世界社長　魔王軍で成り上がる！（１）,17,都田彩人
異世界美少女受肉おじさんと（１）,17,池澤真真／津留崎優
血洗島カナコはなぜ○○するのか？（１）,17,ゆりかわ
侵略好意（１）,17,犬背九二郎
厄災が俺を愛してる（１）,17,栗田あぐり
-50kgのシンデレラ（４）,17,紅月りと。／望月いく
クールな副社長の甘すぎる愛し方（２）,17,天丸ゆう／若菜モモ
その溺愛、お断りします（３）,17,村崎翠／ふじさわさほ
あまい声は最大ボリュームで,17,望月うた
あゆむくん,17,村上キャンプ
記憶の怪物（１）,17,ＭＡＥ
記憶の怪物（２）,17,ＭＡＥ
絶倫プリンシパル,17,輪子湖わこ
不実とエディプス,17,碧本さり
婚約破棄は蜜愛のはじまり～ワケあり公爵と純真令嬢～,17,鳴沢きお／華藤りえ
私の執事はご機嫌ナナメ～ベッドで眼鏡はやめてください！～,17,倖月さちの／伽月るーこ
ニンジャスレイヤー（５）キョート・ヘル・オン・アース,20,ブラッドレー・ボンド＋フィリップ・Ｎ・モーゼズ／余湖裕輝ほか
科学的に存在しうるクリーチャー娘の観察日誌（６）,20,ＫＡＫＥＲＵ
神さまの怨結び（９）,20,守月史貴
僕と悪夢とおねえさん（１）,20,フクイタクミ
QP 我妻涼～Desperado～（10）,20,髙橋ヒロシ／今村ＫＳＫほか
バウンサー（10）,20,みずたまこと
ぱンすと。（８）,20,岡田和人
新しい上司はど天然（２）,20,いちかわ暖
神アプリ（25）,20,栗原正尚
明日クビになりそう（２）,20,サレンダー橋本
穂高輪花のチャリと飯。（１）,20,狐古さやか
19番目のカルテ　徳重晃の問診（１）,20,富士屋カツヒト／川下剛史
アルテ（13）,20,大久保圭
アンサングシンデレラ　病院薬剤師　葵みどり（４）,20,荒井ママレ／富野浩充
モブ子の恋（７）,20,田村茜
今日からCITY HUNTER（６）,20,錦ソクラ／北条司
終末のワルキューレ（６）,20,アジチカ／梅村真也ほか
終末のワルキューレ異聞　呂布奉先飛将伝（１）,20,オノタケオ
前田慶次　かぶき旅（３）,20,原哲夫／堀江信彦ほか
攻殻機動隊　THE HUMAN ALGORITHM（１）,20,藤咲淳一／吉本祐樹
CANDY ＆ CIGARETTES（６）,20,井上智徳
CANDY ＆ CIGARETTES（７）,20,井上智徳
あらくれお嬢様はもんもんしている（２）,20,木下由一
ギルドレ（２）,20,朝霧カフカ／坂野杏梨
スケッチー（２）,20,マキヒロチ
愛しています、キョーコさん。（１）,20,藤村緋二／のざわたけし
半沢ニャオ樹（１）,20,池井戸潤／篠丸のどか
ベイビー、シュガー、サキュバス,20,東条さかな
シュガシュガルーン・コレクションブック,20,安野モヨコ
安野モヨコ　ANNORMAL,20,安野モヨコ
恋い恋いつづり　文豪からの恋手紙（１）,20,藤見よいこ
お気の毒ですが、冒険の書は魔王のモノになりました。（９）,20,ＫＡＫＥＲＵ／サイトウミチ
アンダープリズン（２）,20,宮尾行巳
ガンニバル（６）,20,二宮正明
白竜HADOU（17）,20,天王寺大／渡辺みちお
Get Ready？（１）,20,南マキ
WジュリエットⅡ（９）,20,絵夢羅
シャンピニオンの魔女（１）,20,樋口橘
俺様ティーチャー（28）,20,椿いづみ
暁のヨナ（32）,20,草凪みずほ
喰われ魔せんか？,20,柴宮幸
贄姫と獣の王（13）,20,友藤結
マスク男子は恋したくないのに,20,参号ミツル
愛と復讐の波間で,21,緒形裕美
鏡の国の眠れる伯爵夫人,21,しげまつ貴子
男爵に魔法のキスを,21,原ちえこ／月野さくら
冷ややかな結婚,21,浜口奈津子
恋するボディガード,21,日高七緒
KILLER’S HOLIDAY（１）,21,松（Ａ・ＴＹＰＥｃｏｒｐ．）
だんちがい（９）,22,米田和佐
隣人を妹せよ！（７）,22,森乃葉りふ
隣人を妹せよ！（８）,22,森乃葉りふ
ジャヒー様はくじけない！（６）,22,昆布わかめ
最近雇ったメイドが怪しい（１）,22,昆布わかめ
弱キャラ友崎くん-COMIC-（３）,22,屋久ユウキ／千田衛人
少女漫画主人公×ライバルさん（１）,22,くゥ
とある店員と客の話（１）,22,幸子
やたらとイケメンな男子高校生の話。（１）,22,栗田あぐり
三年差（３・完）,22,島崎無印
少年の初恋は美少女♂でした。（２）,22,小林キナ
仲の悪い許嫁の話（２）,22,鉢谷くじら
腐男子家族（３）,22,すずり街
神達に拾われた男（５）,22,Ｒｏｙ／蘭々
くびすじに蝶の夢　～バタフライ・エフェクト～,22,冬乃郁也／崎谷はるひ
ハロー、グリーンデイズ,22,佐久本あゆ
若様お慕いしております！,22,斑まだ
手話：スファ（２）,22,ＫＥＲ
熱中！コボちゃん（４）全力猛ダッシュ編,22,植田まさし
清く正しくいやらしく（下）,22,倖月さちの／兎山もなか
清く正しくいやらしく（上）,22,倖月さちの／兎山もなか
アックス（134）,23,花くまゆうさくほか
アルティメットジャンケン（２）,23,いぬころすけ
ガールズ&パンツァー　プラウダ戦記（３）,23,吉田創／ガールズ＆パンツァー製作委員会
ニトの怠惰な異世界症候群　～最弱職<ヒーラー>なのに最強はチートですか？～（１）,23,まえはた／蒸留ロメロほか
異世界おじさん（４）,23,殆ど死んでいる
呼び出された殺戮者（２）,23,都誠／井戸正善ほか
召喚された賢者は異世界を往く　～最強なのは不要在庫のアイテムでした～（３）,23,小林こー／夜州ほか
神猫ミーちゃんと猫用品召喚師の異世界奮闘記（１）,23,だにまる／にゃんたろうほか
同棲生活（３）,23,さつま揚げ
二度目の人生を異世界で（８）,23,安房さとる／まいんほか
八男って、それはないでしょう！（８）,23,楠本弘樹／Ｙ．Ａほか
某大手ダンジョンをクビになったので、実家のダンジョンを継ぎました。（１）,23,天上涼太郎／雉子鳥幸太郎ほか
目覚めたら最強装備と宇宙船持ちだったので、一戸建て目指して傭兵として自由に生きたい（１）,23,松井俊壱／リュートほか
アキトはカードを引くようです（１）,23,川田両悟／よう太ほか
サイダーのように言葉が湧き上がる（１）,23,おおのいも／フライングドッグ
ベリアル様は四天王の中でも××（２）,23,林雄一
ライアー・ライアー（１）,23,幸奈ふな／久追遥希ほか
悪戯プライバシー,23,ちこれ
将軍の血（３）,23,今井ムジイ
だんだらごはん（６）,23,殿ヶ谷美由記
愚者の星（２）,23,遠藤浩輝
独身OLのすべて（10）,23,まずりん
乾と巽―ザバイカル戦記―（３）,23,安彦良和
無限の住人～幕末ノ章～（２）,23,滝川廉治／陶延リュウほか
JJM 女子柔道部物語（８）,23,恵本裕子／小林まこと
バーサス魚紳さん！（６）,23,矢口高雄／立沢克美
世界で一番、俺が〇〇（８）,23,水城せとな
ライドンキング（４）,23,馬場康誌
あせとせっけん（７）,23,山田金鉄
カバチ！！！―カバチタレ！3―（27）,23,田島隆／東風孝広
クッキングパパ（153）,23,うえやまとち
グラゼニ～パ・リーグ編～（８）,23,足立金太郎／森高夕次
この会社に好きな人がいます（３）,23,榎本あかまる
テロール教授の怪しい授業（２）,23,カルロ・ゼン／石田点
ハーン　―草と鉄と羊―（12）,23,瀬下猛
ハコヅメ～交番女子の逆襲～（12）,23,泰三子
はたらく細胞BLACK（６）,23,初嘉屋一生／原田重光ほか
マリアージュ～神の雫　最終章～（22）,23,オキモト・シュウ／亜樹直
元女神のブログ（３）,23,本間実
代闘士ハイコの事件簿（１）,23,伊勢ともか／久園亀代
天地創造デザイン部（５）,23,蛇蔵／鈴木ツタほか
珈琲をしづかに（２）,23,みやびあきの
えんまさんちのケルベロス（１）,23,リベンセイ
自分ツッコミくまの本（２）もぐらコロッケのゆめ,23,ナガノ
ハートカクテル　ルネサンス,23,わたせせいぞう
路地裏ブラザーズ（３）,23,石江八
愛を語るなら密やかに（２）,23,おむ・ザ・ライス
IT’s a ワンダフルワーク,24,キカイニンゲン
この指じゃなきゃダメみたい,24,ミブヨシカズ
桜の森の鬼暗らし（１）,24,黒榮ゆい
新装版　うちの陛下が新米で。（３）,24,湖住ふじこ
In between～迷わず、彷徨う者～,24,一樹らい／Ｗ．Ｒｕｉｚ
クラスが異世界召喚されたなか俺だけ残ったんですが（３）,24,サザンテラス／上田キクほか
異世界で土地を買って農場を作ろう（２）,24,岡沢六十四／細雪純ほか
惑星クローゼット（４・完）,24,つばな
君はお医者さん,24,丼丸
ヒヨコくんは甘くない,24,タナカイッパチ
花を召しませ～ほころぶ神花～,24,シロヒト梨太
王と猫の秘宝,24,鰍ヨウ
君は僕の太陽です,24,秋葉東子
つげ義春大全（１）白面夜叉　涙の仇討ち,24,つげ義春
つげ義春大全（16）ねじ式　ゲンセンカン主人,24,つげ義春
アプリコットの心臓（仮）,24,柚子町汐
飼い犬くんの災難（仮）,24,垣崎にま
憧れた人は42歳の娼夫でした（仮）,24,松基羊
ステイ　ウィズ　グッドボーイ,24,ななつの航
メルト　アット　ナイト,24,多賀タイラ
隣の男はよく食べる（１）,24,美波はるこ
霊感工務店リペア　摩の巻,24,池田さとみ
3本足のしじみちゃん,24,天道グミ
いかゴリラのもっと！元気が出るマンガ,24,いかゴリラ
なんだか世界が美しいのは,24,篠丸のどか
『未』成熟（７）,24,Ｍａｒｉａ
アシガール（14）,24,森本梢子
おとななじみ（３）,24,中原アヤ
これは経費で落ちません！～経理部の森若さん～（４）,24,青木祐子／森こさち
テリトリーMの住人（10）,24,南塔子
ふたりで恋をする理由（４）,24,ひろちひろ
ふつうな僕らの（３）,24,湯木のじん
みにあまる彼氏（７）,24,ほしの瑞希
嫁にしたい男（４）,24,田島みみ
今、恋をしています。（１）,24,八田鮎子
青春シンデレラ（１）,24,夕のぞむ
彼女が可愛すぎて奪えない（２）,24,吉田夢美
美食探偵　明智五郎（６）,24,東村アキコ
GALS！！（１）,24,藤井みほな
ハニーレモンソーダ（13）,24,村田真優
赤白つるばみ・裏/火星は錆でできていて赤いのだ,24,楠本まき
ハレルヤ　ベイビー（１）,24,仔縞楽々
群青夏恋,24,カシオ
クズ異能【温度を変える者≪サーモオペレーター≫】の俺が無双するまで（２）,24,彩藤なお／鍋敷
果ての星通信（３）,24,メノタ
神統記（テオゴニア）（４）,24,青山俊介／谷舞司ほか
夫婦別生（１）,24,竹充ヒロ
※キスは20歳になってから（１）,24,のの子
5時から9時まで（16）,24,相原実貴
その先はプライベートです（１）,24,後藤みさき
ハツコイ×アゲイン（５）,24,華谷艶
会長様のニセヨメ。（４）,24,桃川紗奈
虹、甘えてよ。（８）,24,青木琴美
交際0日婚（２）,24,渡部美朋
交際0日婚（３・完）,24,渡部美朋
VRMMOでサモナー始めました（３）,24,テトメト／藤島真ノ介
悪役令嬢の流儀、教えてご覧にいれますわ！　アンソロジーコミック（２）,24,アンソロジー
異世界のお姫さまがピンチでエロいことされちゃう　アンソロジーコミック,24,アンソロジー
メイド・イン・クライシス,24,上田にく
可愛ければ変態でも好きになってくれますか？　アブノーマルハーレム,24,ｋａｎｂｅ／花間燈ほか
映画クレヨンしんちゃん　激突！　ラクガキングダムとほぼ四人の勇者,24,臼井儀人／高田ミレイ
BABY（40）,24,アンソロジー
さよなら恋人、またきて友だち～宮内ユキについて～（２）（仮）,24,ｙｏｈａ
私立帝城学園─四逸─（２）,24,夏下冬
晴るかす青,24,環山わた
サディスティック・マッドネス,24,御茶漬わさび
アトリエで飼われる私（２）,24,都筑せつり
恋愛不感症（４）,24,アキラ
しょうゆさしの食いしん本スペシャル（仮）,24,スケラッコ
アイドルマスターシャイニーカラーズコミックアンソロジー（２）,25,アンソロジー
アズールレーンコミックアンソロジー（12）,25,アンソロジー
カーニヴァル（25）,25,御巫桃也
ヒプノシスマイク-DivisionRapBattle-sideF.P&M（３）,25,ＥＶＩＬ　ＬＩＮＥ　ＲＥＣＯＲＤＳ／城キイコほか
皇帝つき女官は花嫁として望まれ中（２）,25,千種あかり／佐槻奏多ほか
虫かぶり姫（３）,25,喜久田ゆい／由唯ほか
破天荒遊戯（22）,25,遠藤海成
腐男子バーテンダーの嗜み（２）,25,なる粉
敵国王子にイカされちゃうアンソロジー（２）,25,アンソロジー
完全版　飛ぶ教室,25,ひらまつつとむ
ありふれた職業で世界最強　零（４）,25,神地あたる／白米良
ありふれた職業で世界最強（６）,25,ＲｏＧａ／白米良
ありふれた日常で世界最強（４）,25,森みさき／白米良
現実主義勇者の王国再建記（５）,25,上田悟司／どぜう丸
暴食妃の剣（１）,25,もちろんさん／猫子
この素晴らしい世界に祝福を！エクストラ　あの愚か者にも脚光を！（２）,25,暁なつめ／豚たま子ほか
シャバの「普通」は難しい（３）,25,ばたこ／中村颯希ほか
プランダラ（15）,25,水無月すう
ロードス島戦記　誓約の宝冠（１）,25,鈴見敦／水野良ほか
異世界チート魔術師（８）,25,内田健（ヒーロー文庫／主婦の友インフォス）／鈴羅木かりんほか
温泉むすめ　Adharaの日常（１）,25,美月めいあ／エンバウンド
黒鉄の魔法使い（１）,25,もくふう／迷井豆腐ほか
私以外人類全員百合（２）,25,晴瀬ひろき
七つの魔剣が支配する（２）,25,えすのサカエ／宇野朴人ほか
幼女戦記（18）,25,東條チカ／カルロ・ゼンほか
可愛ければ変態でも好きになってくれますか？（５）,25,ＣＨｕＮ／花間燈ほか
服を着るならこんなふうに　for ladies’,25,縞野やえ／ＭＢ
これで最後の恋にしたい,25,末広マチ
サイコ・アナ●バスターズ,25,赤色マッシュ
パブリッシャーラブ,25,高橋なめ子
消防士さんとびーえる喫茶,25,浅瀬之シャチ
吸血鬼の食卓,25,吉田了
on BLUE（46）,25,犬居葉菜／アンソロジー
ワイルドえっちで意識トんじゃう！お隣さんはコワモテ溺愛野獣（２）,25,紺子ゆきめ
モンスタブー（１）,25,高橋悠也／ＴＡＬＩ
モンスタブー（２）,25,高橋悠也／ＴＡＬＩ
デッドマウント・デスプレイ（５）,25,成田良悟／藤本新太
復讐の星（２）,25,伊藤寿規
裸のるーくん（２・完）,25,青目槙斗
おまえでダメならもうダメだ,25,未散ソノオ
となりのメタラーさん,25,マミタ
ノット　ロンググッドバイ,25,緒花
チャイナさんの憂鬱　〈漫画原稿再生叢書〉,25,鶴田謙二
ワルくてHなオジサマは、アレもやっぱり凄いんです！（２）,27,松狸
自転車のお姉さん（１）,27,中嶋ちずな
すずねとひだりて（１）,27,榎のと
僕達のファンになってください（２）,27,霜月かいり
さつてん！（４）,27,真田まこと／ｎｅｇｉｙａｎ
警視庁　特務部　特殊凶悪犯対策室　第七課　トクナナFile.0（２）,27,漣ミサ／ＴＶアニメ「トクナナ」ほか
A.O.Z RE-BOOT GUNDAM INLE ガンダム・インレ　-くろうさぎのみた夢-（５）,27,藤岡建機／矢立肇ほか
ガールズ&パンツァー　アバンティ！　アンツィオ高校（２）,27,梵辛／ガールズ＆パンツァー製作委員会
ティラとケラ（１）,27,市川ヒロ
押して駄目なら押してみろ！（１）,27,廣瀬アユム
退魔師と悪魔ちゃん（４）,27,トナミショウ
魔王のかわいいヤマダはよいこ（４）,27,きあま紀一
明日はどっちだ今日ガール（１）,27,みぎひざ
We Tuber（２）,27,原田まりる／飲茶ほか
アオアシ（20）,27,小林有吾
エチカの時間（１）,27,玉井雪雄
エチカの時間（２）,27,玉井雪雄
お別れホスピタル（４）,27,沖田×華
サターンリターン（３）,27,鳥飼茜
ジャガーン（10）,27,金城宗幸／にしだけんすけ
バディドッグ（９）,27,細野不二彦
ぼくは黒蜜さんの腹筋がこわい（１）,27,山崎コータ
ラッキーな瞬間（２）,27,とみさわ千夏
わるいあね（２）,27,三輪まこと
君の大声を聞いたことがない（２）,27,くれよんカンパニー
血の轍（８）,27,押見修造
昭和天皇物語（６）,27,能條純一／半藤一利ほか
新しい足で駆け抜けろ。（２）,27,みどりわたる
正直不動産（８）,27,大谷アキラ／夏原武ほか
善人長屋（４）,27,西條奈加／尾瀬あきら
大地の子　ゆう（２）,27,坂田信弘／かざま鋭二
武士スタント逢坂くん！（２）,27,ヨコヤマノブオ
風の大地（77）,27,坂田信弘／かざま鋭二ほか
テツぼん（26）,27,永松潔／高橋遠州
KIPPO（16）,27,田中宏
アンファミ　～アンリミテッド・ファミリー～（１）,27,小幡文生
シマウマ（22・完）,27,小幡文生
アラフォー男の異世界通販生活（２）,27,朝倉一二三／うみハル
その恋はいちごのように（３）,27,イロノ
ビブリオコレクト（３・完）,27,蒼月海里／明日香さつき
僕はお猫様の下僕です。（１）,27,北国良人
おっぱい調教～課長のせいで乳首が性感帯になりました～,27,池田ソウコ
発情契約～気持ちいいこともっとして？,27,冬坂ころも
制服プレイ（11）,27,ＰＩＫＯＰＩＫＯ
長谷川くんのが大きくて入りません！？（４）身長差40センチの絶倫彼氏,27,さんかく
大福の日々,27,永井くろ
エデンの東北（20）,27,深谷かほる
ゆるめいつ（８・完）,27,ｓａｘｙｕｎ
リコーダーとランドセル（16）,27,東屋めめ
大きい女の子は好きですか？（６）,27,愛染五郎
レス　してくれれば、しなかった（下）,27,つかさき有／大泉りか
レス　してくれれば、しなかった（上）,27,つかさき有／大泉りか
レス　してくれれば、しなかった（中）,27,つかさき有／大泉りか
カワイイあの子はド早漏,27,アヒル森下
ぼのちゃんとしまっちゃうおじさん,27,いがらしみきお
Cab（67）,27,アンソロジー
異世界ソープラド輝夜（２）,27,猪熊しのぶ
銀牙伝説ノア（５）,27,高橋よしひろ
高嶺のハナさん（２）,27,ムラタコウジ
男塾外伝　大豪院邪鬼（８）,27,宮下あきら／柳田東一郎
あなたがしてくれなくても（５）,27,ハルノ晴
いとなみいとなめず（３）,27,水瀬マユ
クレヨンしんちゃん野原家おでかけ編,27,臼井儀人
ドクムシ　The Ruins Hotel（５）,27,恵那／八頭道尾
まぼろしまたね（２）,27,糸なつみ
屑の館（１）,27,ながしま超助
達人伝～9万里を風に乗り～（26）,27,王欣太
麻雀放浪記（９）,27,嶺岸信明／阿佐田哲也
シロップ　HONEY 初夜百合アンソロジー,27,アンソロジー
きんいろモザイク（11）,27,原悠衣
こみっくがーるず（６）,27,はんざわかおり
タベモノガタリ（２・完）,27,電柱棒
魔王の娘からは逃れられない（１）,27,うら
異世界でも風俗嬢やってみた（３）,27,森尾正博
精霊幻想記（５）,27,みなづきふたご／北山結莉
覇界王～ガオガイガー対ベターマン～　the COMIC（２）,27,藤沢真行／米たにヨシトモ
雲霧仁左衛門（２）,27,崗田屋愉一／池波正太郎
JKが家にお泊まりしてくれるイチャラブアンソロジーコミック,28,アンソロジー
バーナード嬢曰く。（５）,28,施川ユウキ
ナツキくんは今日もキレイ,28,９℃
ダンジョン暮らしの元勇者　THE COMIC（２）,28,しかげなぎ／峰崎龍之介
ニートだけどハロワにいったら異世界につれてかれた（３）,28,高野いつき／桂かすが
人食いダンジョンへようこそ！　THE COMIC（３）,28,天道まさえ／一年新
田所さん（１）,28,ＴＡＴＳＵＢＯＮ
ゲーム戦士　ビット！（４・完）,28,瀬戸カズヨシ
やりすぎ！！！　イタズラくん（４）,28,吉野あすみ
Splatoon イカすキッズ4コマフェス（４）,28,後藤英貴
チコちゃんに叱られる！（３）,28,住吉リョウ／ＮＨＫ「チコちゃんに叱られる！」制作班
ぽちゃ女子アンソロジー（仮）,28,アンソロジー
交際0日婚（仮）,28,アンソロジー
酒と恋（仮）,28,アンソロジー
新装版　鬼畜当主と偽りの花嫁　～きみ恋ひて～,28,高橋依摘
新装版　秘書と子猫,28,所ケメコ
新装版　豹変スーツと調教オフィス,28,本崎月子
あらくさ忍法帖（２）,28,春輝
けなげなですげ（１）,28,コニシリュウイチ
ジェネシスコード（１）,28,えりちん／鷹野浪流
私、スケベ以外興味ないので（１）,28,井手美貴
蛇道スナイパー（２・完）,28,梶井祐
百鬼夜京（１）,28,松本明澄
毎日恋する夫婦の話,28,にかわ柚生
Kyrie（２）隻眼の狼,30,冥花すゐ
君の銀のあし,30,日野雄飛
サキュバスじゃないモン！（３）,30,ほりとも
酷幻想をアイテムチートで生き抜く　THE COMIC（１）,30,宇行日和／風雷山
うましか作品集（仮）,30,うましか
シたがり彼女,30,いづみやおとは
LOW LIFE,30,大嶋宏和
ゲキカワ♥デビル（９）,30,やぶうち優
サメとパンツ（１）,30,八神千歳
ショコラの魔法～salty leaf～,30,みづほ梨乃
ねこ、はじめました（７）,30,環方このみ
キューナナハチヨン（２）,30,ヤマモトマナブ
宇宙人ムームー（１）,30,宮下裕樹
絶滅酒場（４）,30,黒丸
太陽系SF冒険大全　スぺオペ！（２）,30,麻宮騎亜
夜鳴きのシィレエヌ（５・完）,30,今村陽子
お姉さんは女子小学生に興味があります。（５）,30,柚木涼太
血海のノア（３）,30,里見有
魔法少女にあこがれて（２）,30,小野中彰大
勇者と魔王のラブコメ（４）,30,ホリエリュウ
濡れた王は千夜一夜の夢をみる,30,おもい央
生殖の碑,30,あさりよしとお
不条理なあたし達（２・完）,30,竹宮ジン
異世界でもふもふなでなでするためにがんばってます。（５）,30,高上優里子／向日葵
転職の神殿を開きました（１）,30,吉沢はたろう／土鍋
転生！　竹中半兵衛　マイナー武将に転生した仲間たちと戦国乱世を生き抜く（２）,30,カズミヤアキラ／青山有
冒険家になろう！～スキルボードでダンジョン攻略～（３）,30,栗山廉士／萩鵜アキ
勇者伝説の裏側で俺は英雄伝説を作ります　～王道殺しの英雄譚～（１）,30,まお／ナカノムラアヤスケ
ダズリン　スマイリードッグ（仮）,30,酒渼ゆづ子
ひだまりが聴こえる－リミット－（３）（仮）,30,文乃ゆき
オリジナルボーイズラブアンソロジーCanna（71）（仮）,30,琥狗ハヤテ／座裏屋蘭丸ほか
リラと花虻、嵐の中。（１）,下,松尾マアタ
鬼さんこちら！（２・完）,下,金色スイス
シリーズ名・書名,発売日,著者
（成）若妻が堕ちる夜,16,鬼窪浩久
（成）従姉と子作りさせられて…マナさんと母屋を離れて…（２）,16,彩画堂
（成）人妻ちゅーードクッ♡,16,ザキザラキ
（成）思春期まる見え！　コンプレックス,16,朝比奈まこと
（成）パコりすぺくとっ☆,17,タカヤマノン
（成）さんじゅうろう作品集,17,さんじゅうろう
（成）桃色ドロップ,17,さくま司
（成）平間ひろかず作品集,17,平間ひろかず
（成）オトコのコHEAVEN 催眠？睡姦！？痴女♥男の娘,20,アンソロジー
（成）窓際のタバ子さん,22,鈴木狂太郎
（成）くっ殺ヒロインズSP（１）,23,高浜太郎／月蜥蜴ほか
（成）二次元コミックマガジン　NTRレズ　彼女が彼女を寝取ったら,23,長代ルージュ／のちた紳ほか
（成）晒され愛ドル,25,甘竹朱郎
（成）人妻たちの楽園,25,ｂｉｇ．ｇ
（成）恋の失禁アカデミア,25,温泉みかん
（成）white diary,25,天竺浪人
（成）指導姦　Day after,25,ＢＡＮＧ－ＹＯＵ
（成）電脳姦淫辱QUEST,25,由雅なおは
（成）浴びたい彼女の蜜液,27,ウエノ直哉
（成）あなたの望み,27,はいとく先生
（成）メスに生まれたお前が悪い！！,28,前島龍
（成）日焼け少女の白いトコ♡褐色娘のピンクなアソコ♡,28,高岡基文
（成）望月血液研究所の娘,28,あやね
（成）おなかにいっぱい、あやかしの種　百鬼夜行の嫁取り篇（オールカラー）,28,佐藤沙緒理
（成）ぷにっとこんぷれっくす,28,うさ城まに
（成）メスムスメ,28,ゼロの者
（成）というわけで、母さん達とヤッてみた,30,フリーハンド魂
（成）奉仕種族がやってきた！,30,かいづか
（成）未定,30,ぷぅ崎ぷぅ奈
（成）とろけてまざって,30,くまのとおる
（成）魅せビラかし,30,シオマネキ
（成）し～！くれっと,30,ロックハート
（成）ショッキングピンク！新装版,30,ヤスイリオスケ
（成）ナマ逝き！　強制絶頂の宴,30,滝れーき
